[2024-08-20 13:37:33.396]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:37:33.626]	 Updating all plugins!
[2024-08-20 13:37:33.626]	 
[2024-08-20 13:37:34.470]	   "tmux-continuum" update success
[2024-08-20 13:37:34.472]	     | Already up to date.
[2024-08-20 13:37:34.482]	   "tmux-copycat" update success
[2024-08-20 13:37:34.484]	     | Already up to date.
[2024-08-20 13:37:34.504]	   "tmux-resurrect" update success
[2024-08-20 13:37:34.505]	     | Already up to date.
[2024-08-20 13:37:34.517]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:37:34.767]	 unknown variable: TMUX_PLUGIN_MANAGER_PATH
[2024-08-20 13:37:34.769]	 FATAL: Tmux Plugin Manager not configured in tmux.conf
[2024-08-20 13:37:34.769]	 Aborting.
[2024-08-20 13:37:34.781]	 Done.

[2024-08-20 13:37:54.844]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:37:54.854]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:37:55.092]	 Installing "tags"
[2024-08-20 13:37:55.101]	 Already installed "tmux-resurrect"
[2024-08-20 13:37:55.101]	 Already installed "tmux-copycat"
[2024-08-20 13:37:55.102]	 Already installed "tmux-continuum"
[2024-08-20 13:37:55.582]	   "tags" download fail
[2024-08-20 13:37:55.616]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:37:55.850]	 Updating all plugins!
[2024-08-20 13:37:55.850]	 
[2024-08-20 13:37:56.708]	   "tmux-continuum" update success
[2024-08-20 13:37:56.708]	   "tmux-copycat" update success
[2024-08-20 13:37:56.710]	     | Already up to date.
[2024-08-20 13:37:56.710]	     | Already up to date.
[2024-08-20 13:37:56.730]	   "tmux-resurrect" update success
[2024-08-20 13:37:56.732]	     | Already up to date.
[2024-08-20 13:37:56.743]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:37:56.791]	 Done.

[2024-08-20 13:38:12.594]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:38:12.604]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:38:12.842]	 Installing "tags"
[2024-08-20 13:38:12.853]	 Already installed "tmux-continuum"
[2024-08-20 13:38:12.853]	 Already installed "tmux-resurrect"
[2024-08-20 13:38:12.853]	 Already installed "tmux-copycat"
[2024-08-20 13:38:12.947]	   "tags" download fail
[2024-08-20 13:38:12.959]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:38:13.148]	 Updating all plugins!
[2024-08-20 13:38:13.149]	 
[2024-08-20 13:38:13.972]	   "tmux-continuum" update success
[2024-08-20 13:38:13.975]	     | Already up to date.
[2024-08-20 13:38:13.977]	   "tmux-copycat" update success
[2024-08-20 13:38:13.979]	     | Already up to date.
[2024-08-20 13:38:13.998]	   "tmux-resurrect" update success
[2024-08-20 13:38:14.000]	     | Already up to date.
[2024-08-20 13:38:14.011]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:38:14.059]	 Done.

[2024-08-20 13:40:59.741]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:40:59.752]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:40:59.997]	 Installing "tags"
[2024-08-20 13:41:00.007]	 Already installed "tmux-copycat"
[2024-08-20 13:41:00.007]	 Already installed "tmux-resurrect"
[2024-08-20 13:41:00.007]	 Already installed "tmux-continuum"
[2024-08-20 13:41:00.353]	   "tags" download fail
[2024-08-20 13:41:00.386]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:41:00.627]	 Updating all plugins!
[2024-08-20 13:41:00.627]	 
[2024-08-20 13:41:01.564]	   "tmux-continuum" update success
[2024-08-20 13:41:01.566]	     | Already up to date.
[2024-08-20 13:41:01.583]	   "tmux-copycat" update success
[2024-08-20 13:41:01.585]	     | Already up to date.
[2024-08-20 13:41:01.590]	   "tmux-resurrect" update success
[2024-08-20 13:41:01.593]	     | Already up to date.
[2024-08-20 13:41:01.604]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:41:01.653]	 Done.

[2024-08-20 13:41:57.946]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:41:57.956]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:41:58.212]	 Installing "tags"
[2024-08-20 13:41:58.221]	 Already installed "tmux-continuum"
[2024-08-20 13:41:58.221]	 Already installed "tmux-copycat"
[2024-08-20 13:41:58.222]	 Already installed "tmux-resurrect"
[2024-08-20 13:41:58.570]	   "tags" download fail
[2024-08-20 13:41:58.603]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:41:58.838]	 Updating all plugins!
[2024-08-20 13:41:58.838]	 
[2024-08-20 13:41:59.770]	   "tmux-continuum" update success
[2024-08-20 13:41:59.771]	   "tmux-copycat" update success
[2024-08-20 13:41:59.772]	     | Already up to date.
[2024-08-20 13:41:59.773]	     | Already up to date.
[2024-08-20 13:41:59.794]	   "tmux-resurrect" update success
[2024-08-20 13:41:59.796]	     | Already up to date.
[2024-08-20 13:41:59.807]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:41:59.855]	 Done.

[2024-08-20 13:42:24.475]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:42:24.485]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:42:24.878]	 Installing "tags"
[2024-08-20 13:42:24.888]	 Already installed "tmux-continuum"
[2024-08-20 13:42:24.888]	 Already installed "tmux-copycat"
[2024-08-20 13:42:24.888]	 Already installed "tmux-resurrect"
[2024-08-20 13:42:25.302]	   "tags" download fail
[2024-08-20 13:42:25.327]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:42:25.660]	 Updating all plugins!
[2024-08-20 13:42:25.660]	 
[2024-08-20 13:42:26.559]	   "tmux-copycat" update success
[2024-08-20 13:42:26.561]	     | Already up to date.
[2024-08-20 13:42:26.562]	   "tmux-continuum" update success
[2024-08-20 13:42:26.564]	     | Already up to date.
[2024-08-20 13:42:26.583]	   "tmux-resurrect" update success
[2024-08-20 13:42:26.585]	     | Already up to date.
[2024-08-20 13:42:26.596]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:42:26.644]	 Done.

[2024-08-20 13:42:37.748]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:42:37.759]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:42:37.977]	 Installing "tags"
[2024-08-20 13:42:37.986]	 Already installed "tmux-continuum"
[2024-08-20 13:42:37.986]	 Already installed "tmux-copycat"
[2024-08-20 13:42:37.986]	 Already installed "tmux-resurrect"
[2024-08-20 13:42:38.079]	   "tags" download fail
[2024-08-20 13:42:38.094]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:42:38.295]	 Updating all plugins!
[2024-08-20 13:42:38.296]	 
[2024-08-20 13:42:39.234]	   "tmux-continuum" update success
[2024-08-20 13:42:39.234]	   "tmux-copycat" update success
